Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,115.11000061035156,115.75,113.80999755859375,115.52999877929688,77.48432159423828,18651900
2002-01-03,115.6500015258789,116.94999694824219,115.54000091552734,116.83999633789062,78.36294555664062,15743000
2002-01-04,117.16999816894531,117.9800033569336,116.55000305175781,117.62000274658203,78.88607788085938,20140700
2002-01-07,117.69999694824219,117.98999786376953,116.55999755859375,116.79000091552734,78.32936096191406,13106500
2002-01-08,116.79000091552734,117.05999755859375,115.97000122070312,116.5199966430664,78.14828491210938,12683700
2002-01-09,116.68000030517578,117.77999877929688,115.33999633789062,115.56999969482422,77.51112365722656,16610300
2002-01-10,115.69000244140625,116.3499984741211,115.30000305175781,116.08000183105469,77.85319519042969,12823400
2002-01-11,116.20999908447266,116.27999877929688,114.69999694824219,114.94000244140625,77.088623046875,13708400
2002-01-14,114.6500015258789,114.83999633789062,113.95999908447266,114.22000122070312,76.60572814941406,12301100
2002-01-15,114.55000305175781,115.38999938964844,113.9000015258789,115.1500015258789,77.2294692993164,20219900
2002-01-16,114.30000305175781,114.4000015258789,112.69000244140625,112.81999969482422,75.66677856445312,17067000
2002-01-17,113.76000213623047,114.23999786376953,113.4000015258789,113.66999816894531,76.23682403564453,17283400
2002-01-18,113.0,113.8499984741211,112.66999816894531,113.1500015258789,75.88812255859375,17028000
2002-01-22,113.75,113.93000030517578,112.0199966430664,112.37000274658203,75.36493682861328,11689300
2002-01-23,112.62999725341797,113.55000305175781,112.0199966430664,113.2300033569336,75.9417495727539,12438900
2002-01-24,113.63999938964844,114.25,113.31999969482422,113.58000183105469,76.1764907836914,12142800
2002-01-25,113.12000274658203,114.18000030517578,113.04000091552734,113.55000305175781,76.15633392333984,12810700
2002-01-28,113.9000015258789,114.19000244140625,112.91999816894531,113.86000061035156,76.36428833007812,10589200
2002-01-29,113.8499984741211,114.12999725341797,110.05000305175781,110.27999877929688,73.96321868896484,27720800
2002-01-30,110.38999938964844,113.38999938964844,108.4000015258789,111.87000274658203,75.02961730957031,34711800
2002-01-31,112.1500015258789,113.30000305175781,111.62000274658203,113.18000030517578,75.90824127197266,19909200
2002-02-01,113.08999633789062,113.30000305175781,112.16999816894531,112.6500015258789,75.55277252197266,15838500
